fid,date,month,accident_year,day_of_week,time,light_conditions,weather_conditions,accident_severity
298,10,11,2023,6,18.5,4,1,2
299,11,11,2023,7,9.45,1,1,3
300,16,11,2023,5,13,5,2,2
301,16,11,2023,5,17.2,4,2,3
302,17,11,2023,6,0.733333333,7,1,3
303,17,11,2023,6,5.5,4,1,2
304,17,11,2023,6,17.91666667,4,1,3
305,21,11,2023,3,15.25,1,1,3
306,21,11,2023,3,20.08333333,5,1,3
307,22,11,2023,4,9,1,1,2
308,20,11,2023,2,14.5,1,1,3
309,24,11,2023,6,19.73333333,4,1,2
310,27,11,2023,2,12.11666667,1,2,3
311,25,11,2023,7,17.66666667,4,9,3
312,29,11,2023,4,8.416666667,1,9,2
313,29,11,2023,4,18,4,1,3
314,1,12,2023,6,0.25,4,1,3
315,3,12,2023,1,3.5,7,2,3
316,3,12,2023,1,7.833333333,1,8,3
317,4,12,2023,2,16.33333333,4,1,3
318,6,12,2023,4,7.333333333,5,1,2
319,6,12,2023,4,18.05,4,8,3
320,9,12,2023,7,20.33333333,4,1,3
321,6,12,2023,4,18.91666667,7,9,2
322,9,12,2023,7,16.95,4,1,3
323,10,12,2023,1,12.75,1,1,2
324,10,12,2023,1,16.8,4,1,3
325,12,12,2023,3,15.08333333,1,8,3
326,12,12,2023,3,17,4,1,3
327,12,12,2023,3,20.5,4,1,3
328,13,12,2023,4,16.26666667,4,1,3
329,14,12,2023,5,16.31666667,4,1,3
330,15,12,2023,6,17.05,4,1,2
331,17,12,2023,1,13.01666667,1,4,3
332,18,12,2023,2,5.916666667,4,9,2
333,22,12,2023,6,19,4,4,3
334,24,12,2023,1,10,1,1,2
335,24,12,2023,1,11.16666667,1,4,3
336,25,12,2023,2,15.5,1,2,3
337,15,12,2023,6,18.33333333,7,9,2
338,30,12,2023,7,0.25,4,1,3
339,31,12,2023,1,17.5,4,2,2
340,20,12,2023,4,1.583333333,4,2,3
341,5,8,2023,7,16.3,1,1,2
342,2,1,2023,2,19.5,4,1,3
343,3,1,2023,3,12.33333333,1,9,3
344,3,1,2023,3,14.33333333,1,2,3
345,2,1,2023,2,15.96666667,1,1,3
346,3,1,2023,3,19,4,2,3
347,3,1,2023,3,20.86666667,4,2,3
348,3,1,2023,3,19.2,4,2,1
349,4,1,2023,4,7.75,4,2,3
350,4,1,2023,4,17.43333333,4,1,3
351,4,1,2023,4,16.83333333,5,8,3
352,4,1,2023,4,17.28333333,4,1,2
353,5,1,2023,5,12.93333333,1,1,3
354,5,1,2023,5,15.5,1,1,3
355,5,1,2023,5,8.7,1,1,3
356,6,1,2023,6,16.8,4,2,3
357,6,1,2023,6,16.91666667,4,8,3
358,6,1,2023,6,15.58333333,1,1,3
359,7,1,2023,7,16.68333333,4,2,2
360,7,1,2023,7,10.8,1,1,3
361,7,1,2023,7,23.66666667,4,1,3
362,8,1,2023,1,15.83333333,1,1,3
363,7,1,2023,7,9.466666667,1,9,3
364,10,1,2023,3,7.916666667,1,2,3
365,10,1,2023,3,14.08333333,1,2,3
366,9,1,2023,2,13.06666667,1,1,3
367,10,1,2023,3,8.5,1,9,3
368,10,1,2023,3,16.2,4,1,3
369,11,1,2023,4,10.83333333,1,1,2
370,11,1,2023,4,10.86666667,1,1,3
371,11,1,2023,4,17.28333333,4,1,2
372,11,1,2023,4,12.73333333,1,1,3
373,11,1,2023,4,17.91666667,4,1,3
374,11,1,2023,4,16,4,2,3
375,12,1,2023,5,20.5,4,1,3
376,12,1,2023,5,19.23333333,4,2,3
377,13,1,2023,6,9.833333333,1,1,3
378,14,1,2023,7,0.3,4,1,2
379,14,1,2023,7,8.15,1,2,3
380,14,1,2023,7,13.01666667,1,1,3
381,14,1,2023,7,11.41666667,1,2,3
382,14,1,2023,7,17.8,4,1,2
383,15,1,2023,1,9.333333333,1,1,3
384,15,1,2023,1,16,1,1,3
385,15,1,2023,1,18.03333333,4,1,3
386,15,1,2023,1,10.5,1,1,3
387,13,1,2023,6,19.16666667,4,1,3
388,16,1,2023,2,17.5,4,1,3
389,16,1,2023,2,16.01666667,1,1,3
390,14,1,2023,7,7.166666667,4,2,2
391,18,1,2023,4,15.33333333,1,1,2
392,19,1,2023,5,0.1,7,8,3
393,19,1,2023,5,7.266666667,1,1,3
394,17,1,2023,3,6.166666667,4,1,3
395,18,1,2023,4,15.5,1,9,3
396,19,1,2023,5,15.43333333,1,1,3
397,19,1,2023,5,16.55,4,1,3
398,19,1,2023,5,17.25,4,1,3
399,17,1,2023,3,8.633333333,1,8,3
400,20,1,2023,6,12.33333333,5,8,3
401,18,1,2023,4,12.91666667,1,9,3
402,17,1,2023,3,7.833333333,1,8,3
403,21,1,2023,7,14.96666667,1,1,2
404,21,1,2023,7,19.56666667,4,1,3
405,21,1,2023,7,17.91666667,4,1,2
406,22,1,2023,1,0.333333333,4,1,3
407,14,1,2023,7,21.91666667,4,1,2
408,20,1,2023,6,1,1,1,3
409,23,1,2023,2,8.583333333,1,8,3
410,23,1,2023,2,19,4,1,3
411,24,1,2023,3,7,4,1,3
412,24,1,2023,3,15.3,1,1,3
413,24,1,2023,3,16.08333333,1,1,3
414,24,1,2023,3,23.75,4,1,3
415,25,1,2023,4,10.25,1,1,3
416,25,1,2023,4,18,4,2,3
417,25,1,2023,4,15.75,1,1,3
418,25,1,2023,4,22.3,5,2,3
419,25,1,2023,4,10.58333333,1,9,3
420,26,1,2023,5,16.65,4,1,3
421,26,1,2023,5,17.5,4,2,3
422,25,1,2023,4,3.683333333,4,1,2
423,27,1,2023,6,8.083333333,1,1,3
424,27,1,2023,6,6.5,4,1,3
425,4,1,2023,4,7.75,1,9,3
426,27,1,2023,6,17.58333333,4,1,3
427,27,1,2023,6,20.5,7,1,3
428,27,1,2023,6,14.36666667,1,1,3
429,27,1,2023,6,22,4,1,3
430,28,1,2023,7,12.35,1,1,2
431,27,1,2023,6,16.5,1,1,3
432,28,1,2023,7,16.35,1,1,3
433,29,1,2023,1,18.7,4,1,2
434,28,1,2023,7,23.91666667,4,1,3
435,29,1,2023,1,16.85,4,1,3
436,29,1,2023,1,13.5,1,1,3
437,30,1,2023,2,11.26666667,1,1,3
438,29,1,2023,1,18.88333333,4,2,3
439,30,1,2023,2,7.7,1,1,2
440,28,1,2023,7,17.41666667,4,1,3
441,18,1,2023,4,15.16666667,1,1,3
442,29,1,2023,1,14.16666667,1,1,2
443,31,1,2023,3,12.63333333,1,1,3
444,20,1,2023,6,10.75,1,8,3
445,14,1,2023,7,12.66666667,1,1,3
446,1,2,2023,4,9.316666667,1,1,3
447,1,2,2023,4,19,4,1,3
448,2,2,2023,5,2.333333333,4,1,2
449,29,1,2023,1,22.66666667,4,1,3
450,2,2,2023,5,23.83333333,4,1,3
451,3,2,2023,6,8.333333333,1,1,3
452,3,2,2023,6,10.33333333,1,1,3
453,3,2,2023,6,15.68333333,1,8,3
454,3,2,2023,6,20.58333333,4,1,3
455,3,2,2023,6,20.53333333,4,1,3
456,3,2,2023,6,12.41666667,1,1,3
457,4,2,2023,7,22.06666667,4,1,3
458,6,1,2023,6,10.41666667,1,1,3
459,5,2,2023,1,9.55,1,1,3
460,5,2,2023,1,19.86666667,4,1,3
461,5,2,2023,1,18.91666667,4,1,3
462,5,2,2023,1,22.05,4,1,3
463,5,2,2023,1,22.16666667,4,1,3
464,6,2,2023,2,3.166666667,6,1,3
465,6,2,2023,2,18.11666667,1,1,3
466,6,2,2023,2,17.5,4,1,3
467,6,2,2023,2,22.23333333,4,1,3
468,7,2,2023,3,7.6,1,1,3
469,6,2,2023,2,7.9,1,1,3
470,8,2,2023,4,8.666666667,1,1,3
471,8,2,2023,4,10.91666667,1,1,3
472,8,2,2023,4,21.8,4,1,2
473,8,2,2023,4,21.23333333,4,8,2
474,9,2,2023,5,13.08333333,1,1,2
475,9,2,2023,5,12.16666667,1,1,3
476,9,2,2023,5,20.01666667,4,1,3
477,20,1,2023,6,13.08333333,1,1,3
478,8,2,2023,4,19.5,4,1,3
479,10,2,2023,6,23.5,4,1,3
480,11,2,2023,7,19.41666667,4,1,3
481,12,2,2023,1,3.5,4,1,2
482,12,2,2023,1,9.916666667,1,1,3
483,12,2,2023,1,14.96666667,1,1,3
484,11,2,2023,7,19.83333333,4,1,3
485,12,2,2023,1,22.41666667,4,1,3
486,12,2,2023,1,16.25,1,1,2
487,11,2,2023,7,14.25,1,1,3
488,13,2,2023,2,16.86666667,1,1,3
489,14,2,2023,3,7.5,1,1,3
490,13,2,2023,2,12.28333333,1,1,3
491,15,2,2023,4,15.48333333,1,1,3
492,15,2,2023,4,17.75,4,1,3
493,15,2,2023,4,15.61666667,1,1,2
494,15,2,2023,4,14.16666667,1,1,2
495,15,2,2023,4,22.41666667,4,1,3
496,16,2,2023,5,11.26666667,1,1,3
497,15,2,2023,4,18.21666667,4,1,2
498,16,2,2023,5,13.26666667,1,1,2
499,16,2,2023,5,18.55,4,8,3
500,17,2,2023,6,1.766666667,4,1,3
501,17,2,2023,6,17.48333333,4,8,3
502,16,2,2023,5,17.75,4,1,3
503,18,2,2023,7,20.6,4,1,3
504,17,2,2023,6,22.16666667,4,2,3
505,19,2,2023,1,7.016666667,7,1,3
506,18,2,2023,7,10.5,1,1,2
507,19,2,2023,1,21.75,4,1,3
508,20,2,2023,2,7.85,1,1,3
509,17,2,2023,6,21.66666667,4,9,3
510,20,2,2023,2,8.75,1,1,3
511,20,2,2023,2,8.25,1,1,3
512,20,2,2023,2,18.33333333,4,1,3
513,21,2,2023,3,23.63333333,4,1,3
514,22,2,2023,4,0,4,2,3
515,21,2,2023,3,23.75,4,2,3
516,22,2,2023,4,8.916666667,1,2,3
517,22,2,2023,4,14.33333333,1,2,2
518,21,2,2023,3,10.41666667,1,1,3
519,22,2,2023,4,19.83333333,4,2,2
520,23,2,2023,5,12.95,1,1,3
521,22,2,2023,4,18.33333333,4,1,3
522,24,2,2023,6,10.1,1,1,2
523,24,2,2023,6,8.833333333,1,1,3
524,23,2,2023,5,18.58333333,4,1,3
525,24,2,2023,6,16.06666667,1,8,3
526,22,2,2023,4,16.5,1,1,3
527,24,2,2023,6,18,1,1,3
528,24,2,2023,6,16.16666667,1,1,3
529,25,2,2023,7,11.08333333,1,1,3
530,26,2,2023,1,13.66666667,1,1,3
531,26,2,2023,1,18.66666667,4,1,3
532,26,2,2023,1,16.66666667,1,1,3
533,27,2,2023,2,8.9,1,1,3
534,27,2,2023,2,14.41666667,1,1,3
535,27,2,2023,2,20.16666667,4,1,3
536,27,2,2023,2,22.21666667,4,1,3
537,28,2,2023,3,8.666666667,1,1,3
538,28,2,2023,3,10.41666667,1,1,3
539,26,2,2023,1,18.81666667,7,9,3
540,27,2,2023,2,2.9,1,8,3
541,27,2,2023,2,7.966666667,1,8,3
542,28,2,2023,3,17.46666667,4,2,3
543,28,2,2023,3,17.75,4,9,3
544,28,2,2023,3,16.21666667,1,2,3
545,22,2,2023,4,7.833333333,1,2,2
546,1,3,2023,4,0.5,4,1,3
547,23,2,2023,5,23.35,4,1,3
548,31,1,2023,3,11.25,1,1,3
549,1,3,2023,4,6.916666667,1,1,3
550,1,3,2023,4,18.16666667,4,1,3
551,1,3,2023,4,21,4,1,3
552,1,3,2023,4,8.5,1,1,3
553,2,3,2023,5,6.833333333,1,1,3
554,2,3,2023,5,9.833333333,1,1,3
555,1,3,2023,4,19.66666667,7,9,3
556,2,3,2023,5,17.66666667,1,1,2
557,3,3,2023,6,5.75,4,1,2
558,3,3,2023,6,10.33333333,1,1,3
559,3,3,2023,6,14.16666667,1,1,3
560,3,3,2023,6,9.833333333,1,1,3
561,2,3,2023,5,21.08333333,4,1,3
562,3,3,2023,6,11.25,1,1,3
563,4,3,2023,7,1.166666667,4,8,3
564,4,3,2023,7,5.516666667,4,1,3
565,4,3,2023,7,0,4,1,3
566,4,3,2023,7,7.983333333,1,1,2
567,2,3,2023,5,23.33333333,4,1,3
568,4,3,2023,7,18.25,5,1,3
569,5,3,2023,1,3.666666667,4,1,2
570,4,3,2023,7,17.5,4,1,3
571,4,3,2023,7,18.01666667,7,9,3
572,19,1,2023,5,13.16666667,1,1,3
573,6,3,2023,2,13,1,2,3
574,6,3,2023,2,12,1,1,3
575,7,3,2023,3,8.616666667,1,1,3
576,6,3,2023,2,20.33333333,4,2,3
577,8,3,2023,4,8.083333333,1,3,3
578,8,3,2023,4,8.966666667,1,3,3
579,5,3,2023,1,13.25,1,1,3
580,7,3,2023,3,21,4,1,3
581,8,3,2023,4,23.16666667,4,2,3
582,9,3,2023,5,8.883333333,1,1,3
583,9,3,2023,5,9.383333333,1,2,3
584,8,3,2023,4,17.75,4,2,3
585,22,1,2023,1,19.23333333,7,9,3
586,9,3,2023,5,18.95,4,2,3
587,10,3,2023,6,5.833333333,4,1,3
588,9,3,2023,5,11.15,4,8,3
589,10,3,2023,6,8.5,1,5,3
590,10,3,2023,6,11.66666667,1,1,3
591,20,2,2023,2,19.75,4,1,2
592,10,3,2023,6,17.25,1,1,3
593,10,3,2023,6,12,1,1,3
594,4,3,2023,7,18,1,9,3
595,11,3,2023,7,12.5,1,1,3
596,11,3,2023,7,16.06666667,1,1,3
597,11,3,2023,7,20.31666667,4,2,3
598,11,3,2023,7,19.23333333,4,1,3
599,11,3,2023,7,1.083333333,4,1,3
600,12,3,2023,1,13.41666667,1,1,3
601,10,3,2023,6,10.75,1,1,3
602,12,3,2023,1,20.83333333,4,5,3
603,13,3,2023,2,8.5,1,2,3
604,13,3,2023,2,8.866666667,1,4,2
605,13,3,2023,2,20.5,4,1,3
606,14,3,2023,3,1.116666667,4,2,3
607,10,3,2023,6,18.5,4,1,3
608,14,3,2023,3,15.56666667,1,1,2
609,15,3,2023,4,7.7,1,1,3
610,15,3,2023,4,16.25,1,1,3
611,15,3,2023,4,21.66666667,4,8,3
612,15,3,2023,4,23.05,4,8,3
613,15,3,2023,4,17.83333333,4,2,3
614,16,3,2023,5,8.816666667,1,1,3
615,16,3,2023,5,11.58333333,1,1,3
616,15,3,2023,4,20,4,8,3
617,16,3,2023,5,15.83333333,1,1,2
618,16,3,2023,5,8.133333333,1,2,3
619,16,3,2023,5,21.58333333,4,1,3
620,17,3,2023,6,6.7,1,1,3
621,17,3,2023,6,12.5,1,2,3
622,17,3,2023,6,23.68333333,4,1,3
623,18,3,2023,7,13.83333333,1,1,3
624,18,3,2023,7,23.25,4,1,3
625,18,3,2023,7,22.75,6,1,2
626,14,3,2023,3,23.5,4,1,3
627,19,3,2023,1,18.83333333,4,1,3
628,20,3,2023,2,8.25,1,1,3
629,20,3,2023,2,18.16666667,4,2,3
630,21,3,2023,3,11.23333333,1,1,3
631,21,3,2023,3,20.03333333,4,1,3
632,22,3,2023,4,8.516666667,1,1,2
633,22,3,2023,4,15.66666667,1,1,3
634,22,3,2023,4,21.08333333,4,1,3
